user_age_group,user_id,attempt_date,gender,smt_rank,smt_avg_spd,smt_finish_seconds,smt_name,user_weight_category,act_title,act_avg_spd,act_max_spd,act_total_km,act_moving_seconds,act_total_seconds,has_hr_data
19 and under,1,2018-12-10,male,1,58.7,240,Starbucks to Majid,54 kg and under,Afternoon Ride,37.0,150.8,52.93,5147,5147,0
19 and under,2,2019-04-27,male,2,39.9,353,Starbucks to Majid,65 to 74 kg,Morning Ride,37.3,53.3,42.06,4057,4057,0
19 and under,3,2019-12-13,male,3,36.4,387,Starbucks to Majid,65 to 74 kg,تمرين صباحي جميل winking face flexed biceps man biking Morning Ride,26.3,46.4,65.43,8962,8962,0
19 and under,4,2017-12-28,male,4,36.2,389,Starbucks to Majid,54 kg and under,Morning Ride,31.4,45.4,44.6,5121,5121,0
19 and under,5,2015-02-09,male,5,35.0,402,Starbucks to Majid,54 kg and under,Evening Speeders Group Ride,20.2,46.8,103.59,18504,18504,0
19 and under,6,2017-12-04,male,6,32.7,430,Starbucks to Majid,54 kg and under,Evening Ride,32.2,46.4,49.92,5581,5581,0
19 and under,7,2019-09-18,male,7,31.9,442,Starbucks to Majid,65 to 74 kg,Morning Ride,32.8,47.9,43.62,4789,4789,1
19 and under,8,2019-12-25,male,8,29.2,482,Starbucks to Majid,54 kg and under,Evening Ride,30.1,53.6,51.16,6123,6123,0
19 and under,9,2019-05-22,male,9,29.0,486,Starbucks to Majid,55 to 64 kg,Night Ride,25.7,41.4,59.63,8347,8347,1
19 and under,10,2016-07-25,male,10,28.9,487,Starbucks to Majid,65 to 74 kg,Night Ride,22.2,36.0,23.12,3751,3751,0
19 and under,11,2017-12-01,male,11,28.7,491,Starbucks to Majid,54 kg and under,Morning Ride,23.0,43.9,53.5,8366,8366,0
19 and under,12,2016-12-23,male,12,28.6,493,Starbucks to Majid,54 kg and under,ذهاب إلى مجدولة جدة و الرجوع,21.4,59.0,156.3,26351,26351,0
19 and under,13,2017-09-12,male,13,28.4,496,Starbucks to Majid,65 to 74 kg,Evening Ride,28.5,46.1,39.08,4932,4932,0
19 and under,14,2019-04-06,male,14,28.2,500,Starbucks to Majid,54 kg and under,Morning Ride,26.8,44.6,56.5,7595,7595,0
19 and under,15,2019-11-24,male,15,27.9,504,Starbucks to Majid,85 to 95 kg,Night Ride,22.5,50.4,43.45,6957,6957,0
19 and under,16,2015-03-11,male,16,27.8,506,Starbucks to Majid,95 kg to 104 kg,Evening Ride,20.1,49.7,20.04,3590,3590,0
19 and under,17,2018-07-07,male,17,27.7,509,Starbucks to Majid,54 kg and under,Evening Ride,31.2,52.2,38.4,4436,4436,0
19 and under,18,2019-10-23,male,18,27.2,517,Starbucks to Majid,65 to 74 kg,Evening Ride,25.5,43.9,51.64,7291,7291,0
19 and under,19,2019-11-06,male,19,26.8,525,Starbucks to Majid,,Evening Ride,27.3,47.5,52.71,6946,6946,0
19 and under,20,2019-03-20,male,20,26.6,529,Starbucks to Majid,54 kg and under,Evening Ride,22.4,49.0,59.02,9475,9475,0
19 and under,21,2018-08-29,male,21,26.2,538,Starbucks to Majid,55 to 64 kg,Evening ride,28.8,48.6,39.97,4995,4995,0
19 and under,22,2014-12-24,male,22,25.9,543,Starbucks to Majid,105 kg to 114 kg,Evening Ride,24.1,50.0,25.17,3753,3753,0
19 and under,23,2019-05-15,male,23,25.7,547,Starbucks to Majid,55 to 64 kg,اول طيحة رايد winking face with tongue ,27.1,42.8,47.22,6283,6283,0
19 and under,24,2019-07-31,male,24,25.4,555,Starbucks to Majid,,Evening Ride,25.7,41.8,52.71,7391,7391,0
19 and under,25,2018-10-19,male,25,25.2,559,Starbucks to Majid,85 to 95 kg,Morning Ride,24.6,42.1,46.88,6849,6849,0
19 and under,26,2018-10-19,male,26,25.1,560,Starbucks to Majid,85 to 95 kg,19/10/2018,22.2,38.2,48.0,7788,7788,0
19 and under,27,2018-11-17,male,27,25.0,563,Starbucks to Majid,,Morning Ride,26.5,38.2,56.66,7699,7699,0
19 and under,28,2018-11-21,male,28,24.0,586,Starbucks to Majid,54 kg and under,Evening Ride,20.5,48.6,57.64,10106,10106,0
19 and under,29,2020-01-31,male,29,23.9,589,Starbucks to Majid,54 kg and under,Relaxed ride sun ,17.1,34.2,45.46,9563,9563,0
19 and under,30,2017-12-11,male,30,23.0,611,Starbucks to Majid,54 kg and under,Evening Ride,22.4,42.8,68.32,10980,10980,0
19 and under,31,2016-03-25,male,31,22.2,635,Starbucks to Majid,75 to 84 kg,Morning Ride,22.6,103.0,79.49,12656,12656,0
19 and under,32,2019-10-18,male,32,22.1,636,Starbucks to Majid,54 kg and under,Afternoon Ride,19.8,36.4,18.09,3282,3282,0
19 and under,33,2017-02-27,male,33,21.6,653,Starbucks to Majid,75 to 84 kg,Evening Ride,20.3,33.1,21.2,3754,3754,0
19 and under,34,2018-03-31,male,34,20.5,686,Starbucks to Majid,54 kg and under,Morning Ride,24.8,45.0,62.32,9043,9043,0
19 and under,35,2016-04-05,male,35,20.1,701,Starbucks to Majid,54 kg and under,Afternoon Ride,19.3,45.7,78.76,14690,14690,0
19 and under,36,2018-02-16,male,36,19.4,726,Starbucks to Majid,54 kg and under,Morning Ride,17.7,41.8,28.33,5769,5769,0
19 and under,37,2018-09-23,male,37,19.0,742,Starbucks to Majid,54 kg and under,National day ride victory hand: light skin tone ,10.0,38.9,14.75,5330,5330,0
19 and under,38,2019-07-10,male,38,17.9,787,Starbucks to Majid,55 to 64 kg,Jeddah Cycling 1,17.8,39.6,23.16,4679,4679,0
19 and under,39,2018-11-13,male,39,17.9,788,Starbucks to Majid,115 kg and over,Evening Ride,20.1,43.9,31.04,5571,5571,0
19 and under,40,2014-11-10,male,40,16.5,853,Starbucks to Majid,65 to 74 kg,Evening Ride,12.3,32.4,43.29,12641,12641,0
19 and under,41,2018-06-17,male,41,15.0,941,Starbucks to Majid,75 to 84 kg,تمشية بعد انقطاع,23.1,48.6,56.16,8762,8762,0
19 and under,42,2019-01-28,male,42,12.2,1157,Starbucks to Majid,54 kg and under,Resume morning ride flexed biceps: medium skin tone ,13.8,99.4,74.31,19414,19414,0
19 and under,43,2018-04-21,male,43,11.2,1256,Starbucks to Majid,54 kg and under,Evening Ride,13.3,37.8,42.07,11416,11416,0
19 and under,44,2018-04-28,male,44,9.4,1492,Starbucks to Majid,75 to 84 kg,Evening Ride,17.3,39.6,10.99,2292,2292,0
19 and under,45,2015-01-16,male,45,4.9,2862,Starbucks to Majid,75 to 84 kg,Afternoon Ride,15.2,34.6,58.24,13814,13814,0
19 and under,46,2018-04-27,male,46,2.9,4923,Starbucks to Majid,75 to 84 kg,Night Ride,16.4,48.6,29.11,6407,6407,1
19 and under,47,2018-09-15,female,1,25.3,556,Starbucks to Majid,54 kg and under,من أرهب التمارين,17.7,31.3,54.53,11094,11094,0
19 and under,48,2020-02-03,female,2,18.2,772,Starbucks to Majid,54 kg and under,35 k ride,14.6,40.0,16.62,4099,4099,0
19 and under,49,2019-12-02,female,3,16.4,858,Starbucks to Majid,54 kg and under,Evening Ride,17.5,31.0,31.01,6381,6381,0
19 and under,50,2019-09-29,female,4,15.1,933,Starbucks to Majid,54 kg and under,Evening Ride,14.7,32.8,20.57,5054,5054,0
20 to 24,51,2015-11-17,male,1,47.1,299,Starbucks to Majid,65 to 74 kg,Morning Ride (Rainy day) ,28.3,56.9,71.25,9055,9055,0
20 to 24,52,2019-04-27,male,2,45.4,310,Starbucks to Majid,75 to 84 kg,Morning Ride,41.8,60.1,41.65,3583,3583,1
20 to 24,53,2019-03-24,male,3,43.1,327,Starbucks to Majid,75 to 84 kg,Night Ride,30.2,52.2,16.64,1984,1984,0
20 to 24,4,2018-01-22,male,4,39.3,358,Starbucks to Majid,54 kg and under,Afternoon Ride,31.4,52.6,56.53,6486,6486,1
20 to 24,54,2018-12-27,male,5,37.1,380,Starbucks to Majid,65 to 74 kg,Crazy wind dashing away man biking: light skin tone fire ,30.0,58.0,112.1,13463,13463,0
20 to 24,55,2015-08-10,male,6,35.5,397,Starbucks to Majid,54 kg and under,Night Ride,27.1,51.1,43.09,5715,5715,0
20 to 24,56,2016-11-28,male,6,35.5,397,Starbucks to Majid,65 to 74 kg,Evening Ride,32.4,43.9,20.12,2236,2236,0
20 to 24,8,2020-02-15,male,8,33.1,425,Starbucks to Majid,54 kg and under,Cross wind,27.7,58.7,51.56,6691,6691,0
20 to 24,57,2016-10-26,male,9,33.0,427,Starbucks to Majid,65 to 74 kg,Evening Ride,25.9,43.6,35.41,4925,4925,0
20 to 24,58,2018-10-01,male,10,32.8,429,Starbucks to Majid,,Evening Ride,32.9,47.5,47.63,5216,5216,1
20 to 24,59,2019-05-20,male,11,31.5,447,Starbucks to Majid,85 to 95 kg,Night Ride,27.5,47.5,35.07,4589,4589,1
20 to 24,60,2015-05-06,male,12,31.2,451,Starbucks to Majid,85 to 95 kg,Evening Ride,24.1,42.5,91.59,13707,13707,0
20 to 24,61,2017-04-06,male,13,30.8,457,Starbucks to Majid,85 to 95 kg,MidNight Ride,27.9,40.7,17.51,2258,2258,0
20 to 24,62,2013-12-25,male,14,30.4,463,Starbucks to Majid,75 to 84 kg,Evening Ride,25.1,40.7,29.2,4181,4181,0
20 to 24,63,2013-12-25,male,14,30.4,463,Starbucks to Majid,115 kg and over,Evening Ride,25.2,41.8,29.3,4188,4188,0
20 to 24,64,2016-02-29,male,16,30.2,466,Starbucks to Majid,55 to 64 kg,Evening Ride,26.8,41.4,44.49,5970,5970,0
20 to 24,2,2019-08-14,male,17,29.6,475,Starbucks to Majid,65 to 74 kg,Evening Ride,29.2,55.1,39.31,4853,4853,1
20 to 24,65,2014-12-10,male,18,29.5,477,Starbucks to Majid,95 kg to 104 kg,Evening Ride,25.6,36.4,34.65,4881,4881,0
20 to 24,66,2018-01-11,male,19,29.3,481,Starbucks to Majid,75 to 84 kg, person running person biking person swimming ,28.1,40.3,48.94,6279,6279,1
20 to 24,67,2019-02-08,male,20,29.0,485,Starbucks to Majid,54 kg and under,Morning Ride,27.5,35.3,49.99,6551,6551,0
20 to 24,68,2019-03-14,male,21,28.9,487,Starbucks to Majid,54 kg and under,Lunch Ride,29.1,52.9,50.11,6190,6190,0
20 to 24,69,2018-06-27,male,22,28.7,490,Starbucks to Majid,65 to 74 kg,تمرين جميل مع جده سايكلس red heart ,30.1,50.0,77.18,9222,9222,0
20 to 24,70,2019-11-13,male,23,28.6,493,Starbucks to Majid,54 kg and under,Evening Ride,26.2,36.4,28.11,3867,3867,0
20 to 24,3,2020-02-22,male,24,28.0,502,Starbucks to Majid,65 to 74 kg,Morning Ride تمرين رائع winking face flexed biceps person biking ,28.2,46.4,61.45,7858,7858,1
20 to 24,71,2017-08-21,male,25,27.8,507,Starbucks to Majid,75 to 84 kg,تمرين خفيف جداً recycling symbol check mark button ,21.7,46.8,18.06,2999,2999,0
20 to 24,72,2017-12-22,male,26,27.7,509,Starbucks to Majid,54 kg and under,Night Ride,25.3,38.5,65.96,9388,9388,0
20 to 24,73,2014-11-03,male,27,27.5,512,Starbucks to Majid,75 to 84 kg,Evening Ride With Jeddah Cyclists,21.9,36.0,31.74,5214,5214,0
20 to 24,74,2019-01-02,male,28,27.4,513,Starbucks to Majid,,Morning Ride,21.4,34.2,50.47,8497,8497,0
20 to 24,75,2015-01-26,male,29,27.4,514,Starbucks to Majid,,طلعة مع قروب جدة انا والكابتن عبدالرحمن العامودي,18.2,55.1,37.62,7446,7446,0
20 to 24,76,2018-09-17,male,30,27.3,515,Starbucks to Majid,75 to 84 kg,تمرين مع دراج جده سبيدر,27.8,38.5,31.23,4039,4039,0
20 to 24,77,2018-03-26,male,31,27.2,518,Starbucks to Majid,75 to 84 kg,Night Ride,25.1,65.2,65.8,9444,9444,1
20 to 24,78,2016-04-27,male,32,26.8,525,Starbucks to Majid,75 to 84 kg,Evening Ride,21.1,50.4,22.57,3855,3855,0
20 to 24,79,2016-04-18,male,33,26.6,530,Starbucks to Majid,65 to 74 kg,Evening Ride,22.8,41.0,25.62,4047,4047,0
20 to 24,80,2020-01-31,male,34,26.5,532,Starbucks to Majid,54 kg and under,Morning Ride,22.8,43.2,62.99,9957,9957,0
20 to 24,81,2014-04-09,male,35,26.3,535,Starbucks to Majid,54 kg and under,Night Ride,23.1,43.2,15.96,2486,2486,0
20 to 24,82,2018-02-23,male,35,26.3,535,Starbucks to Majid,54 kg and under,Morning Ride,25.9,37.4,59.13,8209,8209,0
20 to 24,83,2017-03-29,male,37,26.1,540,Starbucks to Majid,85 to 95 kg,Evening Ride,24.3,32.8,21.32,3158,3158,0
20 to 24,10,2017-05-31,male,38,25.4,554,Starbucks to Majid,65 to 74 kg,Night Ride,24.4,41.8,19.63,2901,2901,0
20 to 24,84,2018-04-18,male,38,25.4,554,Starbucks to Majid,105 kg to 114 kg,Sortie à vélo en soirée,24.2,41.0,49.57,7381,7381,0
20 to 24,85,2016-12-07,male,40,25.1,561,Starbucks to Majid,85 to 95 kg,Evening Rideاحمد,23.9,46.8,13.46,2029,2029,0
20 to 24,86,2015-11-27,male,41,25.1,562,Starbucks to Majid,95 kg to 104 kg,تمرين جدة ,21.8,88.2,57.28,9462,9462,0
20 to 24,87,2014-07-19,male,42,24.9,565,Starbucks to Majid,75 to 84 kg,Night Ride,21.5,59.8,60.37,10102,10102,0
20 to 24,88,2018-03-08,male,43,24.7,570,Starbucks to Majid,54 kg and under,الكورنيش قبل الفجر,23.9,37.1,35.16,5304,5304,0
20 to 24,89,2018-09-04,male,44,24.6,573,Starbucks to Majid,75 to 84 kg,Evening Ride,25.5,50.8,37.6,5299,5299,0
20 to 24,90,2013-11-13,male,45,24.4,576,Starbucks to Majid,85 to 95 kg,Evening Ride,20.9,49.3,50.9,8766,8766,0
20 to 24,91,2018-12-28,male,46,24.4,577,Starbucks to Majid,75 to 84 kg,Morning Ride,21.1,39.6,80.8,13773,13773,0
20 to 24,92,2019-12-23,male,47,23.9,588,Starbucks to Majid,75 to 84 kg,رايد مع وحوش جده Jeddah cyclists ,24.6,38.5,48.11,7049,7049,0
20 to 24,93,2017-02-22,male,48,23.9,589,Starbucks to Majid,55 to 64 kg,Evening Ride,22.2,37.4,24.62,3994,3994,0
20 to 24,94,2015-06-21,male,49,23.6,597,Starbucks to Majid,85 to 95 kg,Night Ride,21.1,44.6,25.07,4271,4271,0
20 to 24,95,2019-04-26,male,50,23.5,599,Starbucks to Majid,54 kg and under,Afternoon Ride,21.8,46.8,20.45,3376,3376,0
20 to 24,96,2017-05-01,male,51,23.4,602,Starbucks to Majid,85 to 95 kg,Evening Ride,21.5,33.8,24.35,4072,4072,0
20 to 24,97,2017-03-06,male,52,23.3,603,Starbucks to Majid,54 kg and under,Evening Ride,23.9,36.7,23.23,3496,3496,0
20 to 24,98,2017-02-15,male,53,23.2,607,Starbucks to Majid,54 kg and under,Evening Ride,23.4,39.6,24.4,3762,3762,0
20 to 24,99,2019-04-28,male,54,23.1,609,Starbucks to Majid,54 kg and under,Morning Ride,22.6,33.5,29.09,4640,4640,0
20 to 24,100,2018-10-22,male,55,23.0,611,Starbucks to Majid,54 kg and under,Evening Ride,24.5,45.0,51.62,7600,7600,0
20 to 24,101,2017-08-09,male,56,22.9,616,Starbucks to Majid,75 to 84 kg,تمرين دراج جده,21.4,45.4,24.63,4148,4148,0
20 to 24,102,2017-08-09,male,56,22.9,616,Starbucks to Majid,54 kg and under,Evening Ride,22.7,59.8,29.4,4667,4667,0
20 to 24,103,2018-08-27,male,56,22.9,616,Starbucks to Majid,75 to 84 kg,A ride with Jeddah cyclist ,21.0,36.0,47.9,8228,8228,0
20 to 24,104,2018-12-27,male,59,22.8,617,Starbucks to Majid,54 kg and under,Night Ride,21.1,50.8,50.03,8519,8519,0
20 to 24,105,2017-05-13,male,60,22.5,626,Starbucks to Majid,85 to 95 kg,Morning Ride,23.0,34.6,20.95,3280,3280,0
20 to 24,106,2014-06-11,male,61,22.3,630,Starbucks to Majid,55 to 64 kg,Night Ride,25.2,47.5,22.13,3167,3167,0
20 to 24,107,2018-08-03,male,61,22.3,630,Starbucks to Majid,65 to 74 kg,Morning ride ,22.3,48.6,61.04,9855,9855,0
20 to 24,108,2017-12-10,male,63,22.3,632,Starbucks to Majid,54 kg and under,Evening Ride,20.0,33.1,24.21,4362,4362,0
20 to 24,109,2019-04-01,male,64,22.1,636,Starbucks to Majid,65 to 74 kg,عودة قاسية بعد انقطاع طويل fire ,21.0,34.2,41.44,7095,7095,0
20 to 24,110,2020-01-28,male,65,21.8,647,Starbucks to Majid,54 kg and under,Evening Ride,25.6,81.0,16.87,2376,2376,0
20 to 24,111,2019-01-22,male,66,21.7,648,Starbucks to Majid,115 kg and over,4th workout alone ,21.4,37.1,30.58,5147,5147,0
20 to 24,112,2014-12-22,male,67,21.7,649,Starbucks to Majid,54 kg and under,Evening Ride,21.0,37.8,15.91,2729,2729,0
20 to 24,113,2019-02-15,male,68,21.6,651,Starbucks to Majid,54 kg and under,Afternoon Ride,20.7,42.1,104.85,18278,18278,0
20 to 24,114,2019-07-10,male,69,21.5,656,Starbucks to Majid,54 kg and under,Afternoon Ride,22.4,34.6,26.97,4326,4326,0
20 to 24,115,2018-05-01,male,70,21.1,666,Starbucks to Majid,54 kg and under,Afternoon Ride,17.2,31.0,39.73,8327,8327,0
20 to 24,36,2018-04-23,male,71,20.9,673,Starbucks to Majid,54 kg and under,Evening Ride,23.6,41.8,46.31,7073,7073,0
20 to 24,116,2016-10-21,male,72,20.8,676,Starbucks to Majid,54 kg and under,Morning Ride,22.6,37.8,40.51,6452,6452,0
20 to 24,117,2017-03-13,male,72,20.8,676,Starbucks to Majid,54 kg and under,Evening Ride,20.8,38.5,19.63,3405,3405,0
20 to 24,118,2013-08-27,male,74,20.8,678,Starbucks to Majid,55 to 64 kg,تمرين دراجتي جدة ،الحمد لله كل تمرين يزيد العدد ,20.2,46.1,32.55,5816,5816,0
20 to 24,119,2020-01-14,male,75,20.6,684,Starbucks to Majid,75 to 84 kg,Afternoon Ride,22.4,38.2,12.16,1954,1954,0
20 to 24,120,2018-08-24,male,76,20.4,691,Starbucks to Majid,54 kg and under,Afternoon Ride,23.2,39.2,59.56,9257,9257,0
20 to 24,121,2017-11-29,male,77,20.3,694,Starbucks to Majid,75 to 84 kg,Night Ride,20.0,33.1,23.58,4255,4255,1
20 to 24,122,2016-01-13,male,78,19.8,711,Starbucks to Majid,65 to 74 kg,Morning Ride ,23.4,45.4,44.18,6809,6809,1
20 to 24,123,2018-01-03,male,79,19.6,718,Starbucks to Majid,54 kg and under,Evening Ride,14.7,31.3,35.08,8584,8584,0
20 to 24,124,2018-05-28,male,80,19.5,722,Starbucks to Majid,75 to 84 kg,Night Ride,18.9,41.8,30.79,5856,5856,0
20 to 24,125,2018-02-16,male,81,19.4,726,Starbucks to Majid,55 to 64 kg,تمرين الجمعة مع جدة سايكلست بحضرو الكابتن عمر العمير bicycle ,17.7,41.0,24.38,4949,4949,0
20 to 24,126,2018-02-15,male,82,19.0,740,Starbucks to Majid,54 kg and under,Night workout ,20.3,37.8,50.92,9050,9050,0
20 to 24,127,2019-08-09,male,83,19.0,742,Starbucks to Majid,,Evening Ride,16.7,34.9,54.73,11819,11819,0
20 to 24,128,2016-01-11,male,84,18.8,747,Starbucks to Majid,85 to 95 kg,Evening Ride,17.9,47.5,21.86,4403,4403,0
20 to 24,129,2017-12-04,male,85,18.6,757,Starbucks to Majid,54 kg and under,Evening Ride,18.2,60.1,27.24,5392,5392,0
20 to 24,130,2015-06-23,male,86,18.6,758,Starbucks to Majid,85 to 95 kg,Afternoon Ride,19.2,32.8,10.97,2054,2054,0
20 to 24,131,2015-07-21,male,86,18.6,758,Starbucks to Majid,95 kg to 104 kg,Morning Ride,20.7,43.9,33.81,5874,5874,0
20 to 24,132,2018-05-08,male,88,18.5,760,Starbucks to Majid,85 to 95 kg,Night Ride,15.6,44.6,30.92,7128,7128,0
20 to 24,133,2016-09-23,male,89,18.1,777,Starbucks to Majid,54 kg and under,Morning Ride,16.1,41.8,34.61,7737,7737,0
20 to 24,134,2018-02-10,male,90,17.9,785,Starbucks to Majid,54 kg and under,Night Ride,18.4,38.2,43.57,8536,8536,0
20 to 24,135,2019-05-08,male,90,17.9,785,Starbucks to Majid,54 kg and under,Night Ride,21.2,36.0,25.41,4310,4310,0
20 to 24,136,2020-02-12,male,92,17.7,796,Starbucks to Majid,54 kg and under,Evening Ride,16.9,44.6,13.16,2797,2797,0
20 to 24,137,2019-01-05,male,93,17.3,815,Starbucks to Majid,54 kg and under,Morning Ride,27.3,94.3,31.02,4095,4095,0
20 to 24,138,2019-03-29,male,94,17.2,818,Starbucks to Majid,54 kg and under,Night Ride,14.0,48.6,13.64,3521,3521,0
20 to 24,139,2013-12-13,male,95,16.8,839,Starbucks to Majid,65 to 74 kg,تمرين جدة الكورنيش,18.5,41.4,38.13,7407,7407,0
20 to 24,140,2018-01-24,male,96,16.7,844,Starbucks to Majid,54 kg and under,Morning Ride,19.5,31.7,15.21,2804,2804,1
20 to 24,141,2017-08-07,male,97,15.7,896,Starbucks to Majid,75 to 84 kg,Evening Ride,16.7,39.6,18.87,4066,4066,1
20 to 24,142,2014-01-24,male,98,12.8,1096,Starbucks to Majid,115 kg and over,Evening Ride,15.5,75.2,60.5,14085,14085,0
20 to 24,143,2019-01-28,male,99,7.3,1941,Starbucks to Majid,54 kg and under,Evening Ride,11.8,51.8,28.31,8628,8628,0
20 to 24,144,2018-06-25,male,100,5.0,2840,Starbucks to Majid,54 kg and under,Evening Ride,21.5,41.8,57.25,9596,9596,0
20 to 24,145,2018-01-26,male,101,3.5,4053,Starbucks to Majid,85 to 95 kg,Evening Ride,13.7,39.2,28.72,7572,7572,0
20 to 24,145,2018-01-26,female,101,3.5,4053,Starbucks to Majid,85 to 95 kg,Evening Ride,13.7,39.2,28.72,7572,7572,0
25 to 34,146,2019-05-08,male,1,69.4,203,Starbucks to Majid,105 kg to 114 kg,Night Ride,28.8,105.5,28.01,3504,3504,0
25 to 34,147,2019-02-12,male,2,67.7,208,Starbucks to Majid,54 kg and under,Afternoon Ride,31.6,122.0,20.55,2341,2341,0
25 to 34,148,2018-10-27,male,3,66.7,211,Starbucks to Majid,54 kg and under,Afternoon Ride,14.2,110.9,25.39,6432,6432,0
25 to 34,149,2019-05-13,male,4,58.2,242,Starbucks to Majid,54 kg and under,Night Ride,5.0,107.6,114.54,82218,82218,0
25 to 34,150,2018-06-05,male,5,50.5,279,Starbucks to Majid,54 kg and under,Night Ride,23.8,77.4,26.5,4011,4011,0
25 to 34,151,2019-11-30,male,6,49.2,286,Starbucks to Majid,75 to 84 kg,Evening Ride,19.9,94.7,25.28,4576,4576,0
25 to 34,152,2018-12-16,male,7,47.7,295,Starbucks to Majid,54 kg and under,Evening Ride,19.0,73.8,19.34,3664,3664,0
25 to 34,153,2019-12-16,male,8,45.9,307,Starbucks to Majid,54 kg and under,Evening Ride,19.9,77.8,19.02,3435,3435,0
25 to 34,154,2019-05-30,male,9,45.1,312,Starbucks to Majid,,Night Ride,23.0,76.3,25.92,4050,4050,0
25 to 34,155,2018-09-09,male,10,44.4,317,Starbucks to Majid,54 kg and under,Evening Ride,30.3,91.8,39.0,4631,4631,0
25 to 34,156,2019-04-27,male,11,43.3,325,Starbucks to Majid,65 to 74 kg,سباق جدة جيلي ٥٠,40.2,51.5,41.95,3755,3755,0
25 to 34,157,2019-04-27,male,12,43.1,327,Starbucks to Majid,95 kg to 104 kg,Morning Ride,40.3,54.0,41.49,3702,3702,0
25 to 34,158,2017-12-06,male,13,41.8,337,Starbucks to Majid,85 to 95 kg,Evening Ride,31.7,52.9,81.27,9243,9243,1
25 to 34,159,2019-04-27,male,14,40.0,352,Starbucks to Majid,75 to 84 kg,Geely Jeddah 50k race (Garmin malfunctioned),36.6,53.3,34.72,3413,3413,0
25 to 34,160,2019-04-27,male,15,39.9,353,Starbucks to Majid,75 to 84 kg,Morning Ride,38.8,54.4,42.42,3940,3940,1
25 to 34,161,2019-04-27,male,16,39.8,354,Starbucks to Majid,65 to 74 kg,سباق جده وتشتغل بروح الفريق توصل للقمه ,38.7,56.2,42.07,3915,3915,0
25 to 34,162,2015-12-28,male,17,39.2,359,Starbucks to Majid,75 to 84 kg,Night Ride,24.6,43.9,43.12,6313,6313,0
25 to 34,163,2019-04-27,male,18,38.6,365,Starbucks to Majid,85 to 95 kg,Morning Ride,27.9,73.4,45.38,5848,5848,0
25 to 34,164,2019-04-27,male,19,38.5,366,Starbucks to Majid,75 to 84 kg,The Geely Jeddah 50km,35.4,44.6,41.81,4249,4249,1
25 to 34,165,2019-04-27,male,20,38.2,369,Starbucks to Majid,85 to 95 kg,سباق تحدي شركة جيلي,34.7,51.8,40.08,4158,4158,1
25 to 34,166,2015-06-08,male,21,37.8,372,Starbucks to Majid,95 kg to 104 kg,Evening Ride,25.3,56.9,58.29,8309,8309,0
25 to 34,167,2014-01-15,male,22,37.5,375,Starbucks to Majid,85 to 95 kg,"01/15/2014 Jeddah, Makkah Province, Saudi Arabia",29.3,41.0,31.74,3895,3895,1
25 to 34,168,2018-07-28,male,23,36.8,383,Starbucks to Majid,65 to 74 kg,Evening Ride,34.7,63.0,35.03,3640,3640,0
25 to 34,169,2018-12-26,male,24,36.7,384,Starbucks to Majid,105 kg to 114 kg,Evening Ride,26.3,42.1,49.33,6762,6762,0
25 to 34,170,2020-03-12,male,25,36.3,388,Starbucks to Majid,85 to 95 kg,Morning Ride,31.0,52.6,66.56,7741,7741,1
25 to 34,171,2019-02-13,male,26,35.9,392,Starbucks to Majid,85 to 95 kg,التمرين مسافته 38 كم،، والباقي نسيت ما اقفل البرنامج,26.6,78.1,47.08,6370,6370,0
25 to 34,172,2016-11-28,male,27,35.6,396,Starbucks to Majid,75 to 84 kg,Evening Ride,32.5,41.0,20.82,2306,2306,0
25 to 34,173,2018-05-02,male,28,35.5,397,Starbucks to Majid,54 kg and under,تمرين,26.2,44.3,55.75,7670,7670,1
25 to 34,174,2019-01-13,male,28,35.5,397,Starbucks to Majid,75 to 84 kg,Getting ready for the race!,21.7,51.1,27.09,4496,4496,0
25 to 34,175,2019-08-14,male,28,35.5,397,Starbucks to Majid,115 kg and over,تمرين على السريع وحداني ,25.8,44.6,52.65,7359,7359,0
25 to 34,176,2017-04-12,male,31,35.1,401,Starbucks to Majid,95 kg to 104 kg,Evening Ride,29.9,45.4,20.7,2492,2492,1
25 to 34,177,2019-05-31,male,31,35.1,401,Starbucks to Majid,54 kg and under,Afternoon Ride,24.6,43.2,23.47,3440,3440,0
25 to 34,178,2015-01-28,male,33,35.0,402,Starbucks to Majid,85 to 95 kg,Evening Ride,27.5,46.1,35.32,4630,4630,0
25 to 34,179,2018-04-20,male,34,34.8,405,Starbucks to Majid,65 to 74 kg,Morning Ride,28.6,37.4,14.48,1820,1820,1
25 to 34,180,2018-12-14,male,35,34.7,406,Starbucks to Majid,75 to 84 kg,Morning Ride,28.2,47.9,311.14,39763,39763,0
25 to 34,181,2014-04-26,male,36,34.4,409,Starbucks to Majid,105 kg to 114 kg,تمرين صباحي ليوم السبت,24.7,51.5,63.08,9202,9202,0
25 to 34,182,2019-04-27,male,37,34.3,410,Starbucks to Majid,75 to 84 kg,Geely|jeddah|race ,31.4,39.6,42.86,4911,4911,1
25 to 34,183,2019-09-28,male,37,34.3,410,Starbucks to Majid,85 to 95 kg,Morning Ride,30.3,41.4,50.05,5953,5953,1
25 to 34,184,2019-10-09,male,37,34.3,410,Starbucks to Majid,54 kg and under,Afternoon Ride,31.5,45.4,81.45,9314,9314,1
25 to 34,185,2019-04-27,male,40,34.2,412,Starbucks to Majid,75 to 84 kg,Jeddah 50 Challenge,32.6,43.2,44.22,4885,4885,1
